System,Type,Count,Group
AVRO,Dependency upgrade,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AVRO,New JIRA Project,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Bug,9712,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Test,129,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Improvement,3789,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Question,21,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,New Feature,1269,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Task,1101,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Wish,93,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Brainstorming,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Documentation,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Story,14,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,Dependency upgrade,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AWF,New JIRA Project,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Bug,10048,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Test,129,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Improvement,3882,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Question,21,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,New Feature,1282,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Task,1109,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Wish,96,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Brainstorming,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Documentation,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Story,14,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,Dependency upgrade,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIOM,New JIRA Project,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Bug,11460,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
